2020-08-19,1232,"['156', '169']"
2020-08-29,89,"['12', '124', '169']"
2020-08-19,25,"['2', '123']"
2020-08-16,101,"['16', '151']"
2020-08-30,1342,['154']
2020-08-24,604,"['18', '128']"
2020-08-27,1330,"['25', '155', '173']"
2020-08-26,525,"['138', '154']"
2020-08-26,841,"['128', '154', '154']"
2020-08-21,575,['169']
2020-08-23,571,['18']
2020-08-19,424,"['130', '154', '156']"
2020-08-14,143,['128']
2020-08-29,735,"['124', '138']"
2020-08-24,134,"['134', '154']"
2020-08-20,61,"['139', '154']"
2020-08-23,451,"['51', '157']"
2020-08-18,73,['155']
2020-08-18,728,['157']
2020-08-24,1391,['136']
2020-08-30,1404,['138']
2020-08-19,1241,"['128', '169']"
2020-08-21,1144,"['123', '134']"
2020-08-23,1093,"['140', '156']"
2020-08-17,589,"['140', '151', '155', '156', '161', '164']"
2020-08-28,576,['124']
2020-08-21,909,"['19', '128']"
2020-08-30,1334,['154']
2020-08-26,422,"['128', '154', '159']"
2020-08-23,817,"['14', '130']"
2020-08-24,858,['128']
2020-08-25,109,['15']
2020-08-18,1202,['16']
2020-08-20,378,"['134', '151', '166']"
2020-08-16,168,['148']
2020-08-27,476,['170']
2020-08-21,811,"['12', '154']"
2020-08-24,1455,['138']
2020-08-23,1333,"['14', '128', '135', '159']"
2020-08-26,952,"['138', '161']"
2020-08-27,95,"['151', '164']"
2020-08-12,171,['130']
2020-08-24,1472,['138']
2020-08-29,1259,"['12', '134']"
2020-08-23,846,"['139', '155']"
2020-08-24,24,['46']
2020-08-27,618,['74']
2020-08-15,168,['15']
2020-08-30,1463,['161']
2020-08-25,888,['14']
2020-08-19,760,"['135', '154']"
2020-08-18,226,['155']
2020-08-25,532,"['15', '138']"
2020-08-24,663,['128']
2020-08-26,358,['154']
2020-08-21,196,['128']
2020-08-27,245,['134']
2020-08-17,689,['130']
2020-08-22,422,"['146', '151']"
2020-08-24,1498,"['12', '134']"
2020-08-24,228,"['128', '133']"
2020-08-24,591,"['148', '151', '154', '164']"
2020-08-16,11,['148']
2020-08-20,1513,['159']
2020-08-13,309,"['128', '129']"
2020-08-17,677,"['107', '155']"
2020-08-24,1085,"['133', '138']"
2020-08-17,10,['156']
2020-08-29,547,['169']
2020-08-17,722,"['130', '134']"
2020-08-18,476,['12']
2020-08-21,1167,['162']
2020-08-24,975,"['128', '159']"
2020-08-20,117,"['134', '151', '155', '164']"
2020-08-14,220,"['16', '134']"
2020-08-17,164,['156']
2020-08-14,292,"['130', '158', '159']"
2020-08-27,843,"['155', '167']"
2020-08-20,977,['154']
2020-08-13,388,['12']
2020-08-23,328,['156']
2020-08-15,306,['155']
2020-08-21,378,['140']
2020-08-23,126,"['134', '155']"
2020-08-22,107,['2']
2020-08-29,979,['155']
2020-08-24,823,['156']
2020-08-21,214,['155']
2020-08-24,1445,"['151', '164']"
2020-08-17,181,"['151', '164']"
2020-08-26,1013,['140']
2020-08-30,1413,"['140', '169']"
2020-08-24,1284,['156']
2020-08-26,598,['158']
2020-08-14,3,['16']
2020-08-20,399,"['12', '108']"
2020-08-18,1012,"['21', '46', '154', '158', '167', '168']"
2020-08-29,300,"['154', '169']"
2020-08-23,995,['15']
2020-08-21,21,"['2', '123']"
2020-08-19,1030,['148']
2020-08-13,56,['128']
2020-08-12,12,['134']
2020-08-25,961,['155']
2020-08-29,215,['151']
2020-08-18,647,['157']
2020-08-17,591,"['16', '148']"
2020-08-19,161,['2']
2020-08-29,774,"['140', '155']"
2020-08-29,1308,"['45', '174']"
2020-08-16,245,['161']
2020-08-24,50,"['18', '18', '107']"
2020-08-22,63,['157']
2020-08-17,663,['154']
2020-08-25,373,['124']
2020-08-29,756,['159']
2020-08-20,462,['154']
2020-08-23,248,"['128', '138', '161']"
2020-08-25,853,['154']
2020-08-13,72,['159']
2020-08-28,328,"['50', '170']"
2020-08-23,302,['154']
2020-08-18,848,['128']
2020-08-20,611,['134']
2020-08-25,461,"['146', '151']"
2020-08-22,498,['128']
2020-08-28,1133,['168']
2020-08-27,513,"['159', '170']"
2020-08-12,147,['158']
2020-08-28,632,['154']
2020-08-15,57,"['128', '156']"
2020-08-26,466,['128']
2020-08-19,579,['135']
2020-08-14,130,"['107', '134']"
2020-08-29,924,"['138', '154']"
2020-08-27,140,"['124', '129']"
2020-08-23,403,"['130', '135']"
2020-08-23,682,"['138', '154']"
2020-08-24,38,"['51', '123']"
2020-08-28,1179,"['138', '154']"
2020-08-15,236,['134']
2020-08-22,327,"['130', '161', '169']"
2020-08-28,470,['154']
2020-08-18,996,"['16', '135', '151', '164']"
2020-08-23,1283,"['130', '140']"
2020-08-21,428,['128']
2020-08-21,1069,"['156', '161']"
2020-08-22,1222,['128']
2020-08-20,1396,"['136', '161']"
2020-08-18,879,"['123', '128', '134']"
2020-08-24,40,['107']
2020-08-25,73,"['151', '164']"
2020-08-30,1345,"['134', '154']"
2020-08-25,1007,['154']
2020-08-19,194,['155']
2020-08-24,1011,['12']
2020-08-19,720,"['12', '148', '151', '155', '155', '166']"
2020-08-21,678,"['128', '139']"
2020-08-29,1206,"['134', '154', '156']"
2020-08-19,626,"['154', '167']"
2020-08-23,1448,['128']
2020-08-21,844,['132']
2020-08-23,626,"['146', '151']"
2020-08-26,410,"['151', '170']"
2020-08-24,462,['154']
2020-08-12,5,['107']
2020-08-22,185,"['148', '154']"
2020-08-28,1250,['164']
2020-08-24,112,['130']
2020-08-27,1328,"['107', '135', '156']"
2020-08-15,117,['155']
2020-08-19,465,['124']
2020-08-19,952,['161']
2020-08-30,1420,"['146', '151']"
2020-08-25,741,['124']
2020-08-22,1054,"['107', '128', '140', '151', '169']"
2020-08-20,120,"['151', '166']"
2020-08-18,802,['130']
2020-08-13,180,['16']
2020-08-21,385,['74']
2020-08-12,131,['134']
