itemID,quantity,absHour,price,studGroup,tID,rating
2,1,17,8.0,F2,1,1
2,1,17,8.0,F3,1,2
2,1,17,8.0,F2,1,3
2,1,17,8.0,F1,2,3
2,1,17,8.0,F2,1,4
2,2,17,8.0,F0,1,3
2,2,17,8.0,F3,2,3
2,2,17,8.0,F2,1,5
2,2,17,8.0,F3,1,1
2,2,17,8.0,F2,1,4
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,3
2,2,17,8.0,F2,3,4
2,2,17,8.0,F3,1,3
2,3,17,8.0,F3,1,2
2,4,17,8.0,F2,1,4
2,4,17,8.0,F2,1,4
14,1,16,10.0,B1,2,3
15,2,16,35.0,B1,6,3
22,1,17,15.0,F3,1,4
46,1,17,18.0,F3,4,3
74,1,17,25.0,F4,1,4
76,1,17,30.0,F2,1,3
76,1,17,30.0,F2,2,3
76,1,17,30.0,F3,2,4
76,3,16,30.0,B1,1,5
108,1,17,20.0,F3,3,2
123,1,17,8.0,F3,1,4
123,1,17,8.0,F4,1,4
123,1,17,8.0,F4,1,5
123,1,17,8.0,F3,2,1
123,1,17,8.0,F2,2,3
123,1,17,8.0,F3,2,3
123,1,17,8.0,F2,2,1
123,2,17,8.0,F2,2,3
123,3,17,8.0,F3,2,2
123,6,17,8.0,F1,1,3
128,1,16,25.0,B1,5,5
134,1,16,15.0,B1,3,1
151,3,16,12.0,B1,8,2
152,1,18,15.0,F3,1,3
154,3,16,22.0,B1,4,3
155,1,16,27.0,F2,2,2
160,1,17,25.0,F1,1,4
164,1,16,81.0,B1,7,4
169,1,17,25.0,F0,1,5
170,1,16,20.0,B1,9,3
179,1,17,23.0,F1,3,2
2,1,17,8.0,F2,1,2
2,1,17,8.0,F0,1,4
2,1,17,8.0,F2,1,4
2,1,17,8.0,F3,2,3
2,1,17,8.0,F2,1,3
2,1,17,8.0,F2,1,3
2,1,17,8.0,F1,1,1
2,1,17,8.0,F2,1,1
2,1,17,8.0,F0,1,2
2,2,16,8.0,F6,1,5
2,2,17,8.0,F3,1,4
2,2,17,8.0,F2,1,1
2,2,17,8.0,F2,1,1
2,2,17,8.0,F3,1,4
2,2,17,8.0,F4,1,3
2,2,17,8.0,F2,1,2
2,2,17,8.0,F4,1,3
2,3,17,8.0,F2,1,3
2,3,17,8.0,F2,1,3
2,4,17,8.0,F2,1,4
2,5,17,8.0,F2,1,1
2,8,17,8.0,F2,1,4
15,1,17,35.0,F1,1,5
18,1,16,55.0,B1,8,4
26,2,18,5.0,F3,2,5
48,1,17,10.0,F0,1,3
74,3,16,25.0,B1,9,2
76,1,18,30.0,F3,3,4
76,1,17,30.0,F2,1,3
76,1,17,30.0,F3,1,4
76,1,16,30.0,B1,1,4
107,1,17,10.0,F3,2,4
107,1,16,10.0,B1,3,4
108,1,17,20.0,F2,3,5
123,1,17,8.0,F3,1,2
123,1,17,8.0,F2,2,4
123,1,17,8.0,F3,3,1
123,1,17,8.0,F3,1,2
123,1,17,8.0,F2,2,2
123,1,17,8.0,F2,2,1
123,1,17,8.0,F2,2,4
123,1,17,8.0,F4,2,4
128,1,16,25.0,B1,2,3
152,1,18,15.0,F3,1,1
154,1,16,22.0,B1,4,4
169,1,16,25.0,F6,2,4
169,2,17,25.0,F2,2,4
169,3,16,25.0,B1,5,3
170,1,17,20.0,F5,1,4
170,6,16,20.0,B1,7,1
178,1,16,40.0,B1,6,3
2,1,17,8.0,F3,1,3
2,1,17,8.0,F3,1,3
2,1,17,8.0,F3,1,3
2,1,17,8.0,F3,2,4
2,1,17,8.0,F3,1,1
2,1,17,8.0,F3,2,1
2,1,17,8.0,F2,1,3
2,1,17,8.0,F3,2,3
2,2,17,8.0,F2,1,3
2,2,17,8.0,F2,1,3
2,2,17,8.0,F2,2,3
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,2
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,4
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,5
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,3
2,3,17,8.0,F3,1,2
2,3,17,8.0,F1,1,4
20,1,17,25.0,F2,2,5
21,1,18,30.0,F0,1,4
21,3,17,30.0,F4,2,2
25,2,17,10.0,F2,1,2
26,1,16,5.0,B1,7,1
26,2,17,5.0,F2,1,5
74,2,16,25.0,B1,1,5
76,1,17,30.0,F3,2,1
76,1,17,30.0,F3,2,4
76,2,17,30.0,F2,1,4
99,1,18,10.0,F0,3,4
107,1,16,10.0,B1,8,3
108,1,17,20.0,F2,2,5
123,1,17,8.0,F2,2,4
123,1,17,8.0,F2,2,3
123,1,17,8.0,F2,1,3
123,1,17,8.0,F3,2,4
123,1,17,8.0,F2,2,5
123,2,17,8.0,F2,1,3
123,3,17,8.0,F4,1,3
154,1,16,22.0,B1,3,5
155,1,17,27.0,F3,3,4
155,2,16,27.0,B1,5,4
156,1,17,30.0,F1,1,4
156,1,16,30.0,B1,9,2
160,1,17,25.0,F3,1,3
160,1,16,25.0,B1,6,3
163,1,17,20.0,F3,1,2
163,1,18,20.0,F0,2,1
169,1,17,25.0,F2,2,1
169,1,17,25.0,F2,1,4
169,2,17,25.0,F4,3,4
169,3,16,25.0,B1,2,4
175,1,17,18.0,F3,1,4
180,1,16,170.0,B1,4,3
2,1,17,8.0,F4,3,2
2,1,17,8.0,F3,3,4
2,1,17,8.0,F3,1,2
