"('F2413', 1)","['2', '123']"
"('F4260', 5)",['129']
"('F2171', 5)","['76', '141', '107', '124']"
"('F1200', 3)",['14']
"('F1952', 1)","['151', '164', '154']"
"('F3607', 1)","['146', '151', '169']"
"('F3052', 3)",['18']
"('F1933', 12)",['76']
"('F2110', 12)","['131', '146', '151', '169']"
"('F3567', 3)","['124', '138']"
"('F2804', 4)","['76', '124', '138']"
"('F4802', 15)","['141', '146', '76']"
"('F3757', 2)",['2']
"('F2243', 5)","['141', '193']"
"('F4004', 7)",['141']
"('F1535', 4)","['76', '107']"
"('F2529', 21)","['76', '128']"
"('F4717', 9)","['146', '151']"
"('F2173', 1)",['76']
"('F2080', 1)",['130']
"('F2081', 12)","['93', '168']"
"('F1368', 2)","['130', '135', '134', '154']"
"('F3756', 9)","['151', '154', '164', '151', '15']"
"('F2359', 13)",['107']
"('F3849', 11)",['154']
"('F2761', 6)",['134']
"('F4887', 2)","['107', '146']"
"('F4234', 7)",['134']
"('F1622', 3)","['128', '154', '130', '169']"
"('F3423', 11)","['132', '188', '154']"
"('F2451', 1)",['128']
"('F3576', 9)",['26']
"('F2634', 13)",['130']
"('F2293', 11)","['76', '128', '132']"
"('F2385', 18)",['154']
"('F2407', 8)",['135']
"('F4173', 13)","['26', '76']"
"('F3193', 9)",['140']
"('H1009', 2)","['146', '151', '18']"
"('F3683', 7)",['76']
"('F2790', 7)","['2', '123', '2']"
"('F2205', 8)","['129', '151']"
"('F2064', 9)",['128']
"('F2841', 5)",['15']
"('F2094', 15)","['2', '123']"
"('F4437', 27)",['142']
"('F2498', 7)",['142']
"('F2365', 5)","['12', '15', '169']"
"('F5587', 5)",['128']
"('F2256', 4)","['141', '151', '177', '169']"
"('F2377', 13)","['2', '123', '93']"
"('F3443', 5)","['135', '135', '154']"
"('F4779', 7)","['154', '154']"
"('F2056', 9)","['20', '123', '26', '188']"
"('F3245', 1)","['146', '151']"
"('F2426', 5)",['124']
"('F3466', 4)","['128', '169']"
"('F2422', 2)","['108', '134']"
"('F3486', 7)",['128']
"('F2364', 3)",['2']
"('F3314', 2)","['2', '123']"
"('F2299', 4)","['151', '164']"
"('F2537', 14)","['22', '128']"
"('F2910', 4)",['123']
"('F1457', 1)","['15', '2']"
"('F4818', 1)","['1', '130', '123', '154']"
"('F3640', 3)","['128', '138', '138']"
"('F4640', 8)","['124', '134']"
"('F2100', 2)","['142', '15', '134', '108', '156']"
"('F1380', 5)","['142', '130']"
"('F1707', 2)",['142']
"('F2437', 4)","['130', '12', '139']"
"('H2066', 1)","['146', '151', '14']"
"('F2760', 15)","['188', '188']"
"('F4304', 9)","['135', '139']"
"('F3025', 4)","['128', '134', '139']"
"('F2114', 5)",['130']
"('F4203', 15)","['151', '164', '151', '26']"
"('F2606', 5)",['128']
"('F2602', 12)",['2']
"('F1419', 6)","['134', '169']"
"('F2745', 5)","['124', '20', '169', '195']"
"('F2645', 16)","['128', '134']"
"('F2731', 15)","['134', '107', '76']"
"('F4636', 4)","['48', '108']"
"('F2143', 8)","['26', '93', '107', '26', '93']"
"('F3350', 2)","['151', '164', '1', '154']"
"('F3140', 3)","['178', '154']"
"('F2354', 28)",['154']
"('F3331', 9)","['128', '142', '142']"
"('F4607', 17)",['135']
"('F2515', 4)","['2', '107', '21']"
"('F2104', 21)","['123', '188', '21', '107']"
"('F1152', 8)","['93', '129']"
"('H2215', 1)","['128', '146', '151', '186', '100']"
"('H2050', 1)","['151', '154']"
"('F1318', 4)",['135']
"('F3843', 7)","['135', '142', '105', '142']"
"('F2700', 10)","['142', '146', '151', '76', '15', '154', '18']"
"('F4843', 4)","['134', '130', '21']"
"('F2145', 7)",['154']
"('F2175', 2)","['100', '107', '154']"
"('F2523', 5)",['130']
"('F4591', 6)","['1', '198']"
"('F1097', 7)","['140', '154']"
"('F4510', 5)",['134']
"('F2661', 10)","['138', '142', '22']"
"('F3622', 9)","['2', '123', '123']"
"('F3360', 2)","['2', '123']"
"('F2329', 9)","['134', '128', '160', '21']"
"('F2577', 2)",['134']
"('F4820', 10)","['169', '188']"
"('F1194', 10)",['138']
"('F3051', 2)",['128']
"('F3345', 2)",['154']
"('F3057', 2)","['107', '124']"
"('F3538', 1)","['12', '160']"
"('F1472', 5)","['1', '123']"
"('F2229', 1)",['128']
"('F3891', 10)","['130', '135', '184', '169']"
"('F2030', 3)","['2', '123', '2', '193']"
"('F3467', 6)","['134', '128', '190']"
"('F2373', 3)",['2']
"('F1075', 6)","['128', '154']"
"('F3830', 1)",['134']
"('F2493', 9)",['188']
"('F3153', 16)","['123', '193', '123']"
"('F3829', 16)","['151', '108', '76']"
"('F2160', 5)",['18']
"('F3860', 1)","['21', '128', '154']"
"('F1393', 3)","['76', '154']"
"('F2030', 6)","['22', '171']"
"('H1084', 2)","['131', '134']"
"('F2811', 10)",['15']
"('F1238', 4)","['20', '128']"
"('F3762', 3)","['128', '130']"
"('F3719', 1)",['169']
