2020-09-21,843,"['25', '46', '128']"
2020-09-27,1439,"['130', '134']"
2020-09-12,1366,['130']
2020-09-15,1544,"['108', '128', '155', '156']"
2020-09-07,1416,"['74', '76', '128', '128']"
2020-09-29,918,['142']
2020-09-02,421,"['129', '138']"
2020-09-26,1906,['169']
2020-09-21,1772,"['2', '15', '76', '107']"
2020-09-20,1196,['154']
2020-09-01,705,"['124', '169']"
2020-09-21,78,"['76', '100', '105', '107']"
2020-09-21,1708,['128']
2020-09-08,111,"['2', '123']"
2020-09-26,1842,"['134', '169']"
2020-09-26,186,['2']
2020-09-19,28,"['21', '123']"
2020-09-26,798,['128']
2020-09-19,1178,"['76', '178']"
2020-09-18,969,['156']
2020-09-26,1640,"['128', '134', '161']"
2020-09-02,1277,"['48', '76', '107', '130']"
2020-09-17,1163,"['76', '169']"
2020-09-29,1217,"['128', '160', '169']"
2020-09-25,1196,"['130', '134', '134', '151', '154', '164']"
2020-09-10,883,['12']
2020-09-09,1348,['128']
2020-09-22,1105,['151']
2020-09-22,1844,['173']
2020-09-01,308,['123']
2020-09-03,593,"['138', '154']"
2020-09-11,501,"['14', '15', '93', '128', '128', '169']"
2020-09-05,1529,"['15', '76']"
2020-09-08,1523,['99']
2020-09-12,552,['157']
2020-09-20,645,"['22', '123', '135', '154']"
2020-09-23,230,"['18', '76']"
2020-09-24,1108,"['128', '184']"
2020-09-09,1285,"['76', '128']"
2020-09-17,640,['76']
2020-09-08,792,['140']
2020-09-05,605,['76']
2020-09-01,599,"['124', '138', '169']"
2020-09-05,1018,['128']
2020-09-13,1560,"['163', '163']"
2020-09-29,1755,"['128', '154']"
2020-09-28,768,['161']
2020-09-02,267,"['148', '151']"
2020-09-12,1479,['130']
2020-09-07,788,['128']
2020-09-02,1010,['50']
2020-09-05,1069,['154']
2020-09-14,265,"['76', '108', '154']"
2020-09-22,832,['169']
2020-09-27,1782,"['100', '168']"
2020-09-27,124,['2']
2020-09-16,968,['134']
2020-09-19,1942,['74']
2020-09-06,1435,"['148', '151']"
2020-09-07,1098,['76']
2020-09-06,60,"['2', '123']"
2020-09-29,2225,"['134', '169']"
2020-09-11,37,['2']
2020-09-13,1316,['128']
2020-09-23,784,['134']
2020-09-05,537,"['12', '76', '128']"
2020-09-19,492,"['146', '151', '154']"
2020-09-28,835,"['76', '128']"
2020-09-23,329,['154']
2020-09-25,805,['74']
2020-09-11,762,['128']
2020-09-18,153,['2']
2020-09-11,1448,"['76', '108', '128', '130']"
2020-09-25,613,['128']
2020-09-27,1055,['138']
2020-09-09,1177,['169']
2020-09-27,1660,"['140', '159']"
2020-09-18,1366,['183']
2020-09-25,429,"['129', '130', '133', '161']"
2020-09-06,324,['169']
2020-09-17,1879,"['76', '176']"
2020-09-25,1029,['154']
2020-09-22,949,['154']
2020-09-08,1164,['128']
2020-09-27,473,"['151', '177']"
