"('F4067', 4)","['12', '154']"
"('F2717', 1)","['156', '134', '136']"
"('F2648', 2)","['128', '163']"
"('F4353', 7)",['140']
"('F1547', 3)","['130', '155']"
"('F2062', 2)","['154', '151', '164', '151', '164', '151', '155', '164', '74', '135', '154', '50']"
"('F4297', 10)",['128']
"('F4805', 8)",['163']
"('F2529', 8)","['128', '155']"
"('F3768', 2)","['154', '161', '128', '148', '159']"
"('F2377', 10)","['15', '107']"
"('F3467', 6)","['134', '154']"
"('F2258', 1)","['151', '154', '164', '159']"
"('F3510', 3)","['124', '151', '164', '156']"
"('F2129', 8)",['14']
"('F2093', 8)","['154', '157', '124', '160', '160']"
"('F2228', 8)","['140', '157']"
"('F1332', 5)","['138', '151', '166', '155', '14', '128', '132', '154', '170']"
"('F2415', 8)","['138', '154']"
"('F3568', 3)","['74', '124', '167', '130', '139', '74', '163', '74']"
"('F3886', 2)","['128', '123']"
"('F3301', 2)","['154', '128']"
"('F3281', 3)","['128', '155']"
"('F4437', 17)",['154']
"('F3323', 5)","['155', '164']"
"('F3070', 4)","['130', '130']"
"('F3508', 1)",['148']
"('F3131', 3)","['12', '124', '154', '155', '124', '12', '155']"
"('F4604', 5)","['134', '148', '154', '161']"
"('F3650', 4)",['128']
"('H2224', 3)","['154', '166', '151', '128', '155']"
"('F3632', 1)","['128', '154']"
"('H1168', 2)","['139', '151', '164']"
"('F3284', 1)",['134']
"('F3209', 6)","['130', '161']"
"('F2294', 1)","['155', '155']"
"('F3710', 9)","['151', '169']"
"('F3396', 3)",['25']
"('F3373', 3)","['128', '155']"
"('H2141', 1)","['151', '164']"
"('F4768', 3)","['148', '161']"
"('F2202', 3)","['124', '134']"
"('F2002', 2)","['151', '151', '164', '155']"
"('F4351', 2)","['134', '169']"
"('F2116', 13)","['107', '154', '134']"
"('F2773', 3)","['128', '155']"
"('F4437', 3)","['148', '128', '158']"
"('F4243', 3)","['132', '154']"
"('F2691', 1)","['135', '154']"
"('F4770', 12)","['148', '154']"
"('F1015', 1)","['134', '161']"
"('F4268', 12)","['148', '161', '161']"
"('F2251', 1)","['146', '151', '156']"
"('F3079', 3)",['25']
"('F1864', 1)",['130']
"('F4754', 3)","['124', '154']"
"('F2770', 3)","['151', '156']"
"('F1805', 3)",['156']
"('F3376', 1)","['124', '159']"
"('F4277', 7)",['128']
"('F1735', 2)",['134']
"('F3259', 2)","['107', '128', '140', '155', '156', '12', '16', '16', '51', '107', '128', '128', '155', '157', '16', '16', '51', '107', '128', '156', '160', '128', '128', '16', '154']"
