"('F2528', 8)","['134', '173', '129', '124', '155', '124']"
"('F1252', 6)","['128', '129']"
"('F4108', 1)","['146', '151', '128', '154', '128', '134']"
"('F3110', 8)","['134', '154', '135', '50', '93', '130', '154', '130', '154', '154', '154', '134', '142']"
"('F4814', 1)","['128', '151']"
"('F2684', 11)","['2', '123', '108', '169']"
"('F2240', 9)","['179', '192']"
"('F3325', 6)","['128', '128']"
"('F1353', 2)",['76']
"('F4246', 24)",['179']
"('F1185', 6)",['128']
"('F4345', 13)",['108']
"('F4633', 14)","['14', '26', '170']"
"('F4814', 14)",['134']
"('F1414', 3)","['130', '154']"
"('H1080', 1)","['130', '154']"
"('F2506', 10)","['130', '154']"
"('F2850', 9)","['164', '22']"
"('F0000', 126)","['146', '151', '130', '132', '135', '2', '130', '141', '151', '164', '130', '146', '151', '170', '135', '141', '146', '151', '177', '130', '130', '146', '151', '131', '146', '151', '169', '154', '129', '161', '146', '177', '151', '139', '1', '156', '130', '128', '154', '139', '164', '151', '164', '146', '151', '128', '154', '130', '131', '140', '154', '169']"
"('F2377', 56)","['76', '138']"
"('F1663', 4)",['156']
"('F1148', 1)","['138', '128', '129']"
"('F3717', 2)","['135', '138']"
"('F3699', 3)",['193']
"('F1387', 7)","['50', '130', '26', '128']"
"('F2010', 11)","['134', '193']"
"('F3787', 27)",['76']
"('H1264', 2)","['169', '179']"
"('F3792', 3)",['2']
"('F1137', 21)","['156', '175']"
"('F1097', 11)","['140', '157', '130', '76']"
"('F3209', 11)","['2', '107', '123', '181']"
"('F2311', 7)","['188', '18']"
"('F3527', 19)","['76', '130', '134']"
"('F2728', 6)","['100', '128', '173', '157']"
"('F4550', 8)",['12']
"('F1054', 7)","['134', '2', '123']"
"('F3820', 12)","['156', '140', '134', '176']"
"('F1207', 7)",['129']
"('F1307', 5)",['154']
"('F2094', 2)","['2', '123']"
"('F1280', 9)","['134', '22', '22']"
"('F3778', 2)",['134']
"('F2225', 8)","['108', '169', '188', '22', '76', '179']"
"('F2931', 5)",['154']
"('F2693', 2)","['142', '154']"
"('F2843', 2)","['151', '164', '151']"
"('F2799', 2)",['187']
"('F2243', 12)","['134', '142', '193', '142']"
"('F3735', 19)",['139']
"('F3721', 17)","['76', '142']"
"('F1274', 10)","['25', '74']"
"('F4804', 5)","['108', '139', '140', '142', '169', '18']"
"('F3111', 16)","['12', '130', '169']"
"('F3057', 20)","['100', '142', '151', '164', '154', '76']"
"('F2272', 13)","['141', '146', '151', '93', '154', '154']"
"('F4663', 17)","['142', '178', '154']"
"('F2378', 17)",['142']
"('F3096', 6)","['128', '132']"
"('F4081', 1)","['2', '123']"
"('F2039', 9)","['187', '161']"
"('F4128', 16)","['129', '22', '187']"
"('F2332', 3)",['166']
"('F2856', 19)",['171']
"('F3647', 7)",['129']
"('F4442', 11)","['76', '108']"
"('F2828', 1)","['130', '128', '169']"
"('F1095', 6)",['26']
"('F2415', 21)",['139']
"('F3489', 18)","['1', '134', '154']"
"('F3656', 14)","['134', '142', '173', '26', '154']"
"('F4807', 4)","['142', '187']"
"('F3568', 2)","['133', '142', '22', '93']"
"('F3881', 6)","['128', '169', '25', '142', '169', '21']"
"('F5695', 7)",['176']
"('H2251', 2)","['146', '151', '154']"
"('F3593', 17)",['128']
"('F3744', 5)",['134']
"('F2567', 20)","['22', '154', '168']"
"('F1156', 1)",['2']
"('F4140', 6)",['128']
"('F1348', 3)",['193']
"('F3867', 9)",['188']
"('F2605', 5)",['142']
"('F2114', 5)",['135']
"('F2095', 10)","['25', '108', '192', '188', '169']"
"('F4747', 3)","['128', '154']"
"('F2575', 3)",['174']
"('F2828', 19)",['93']
"('F2017', 11)","['154', '193']"
"('F2732', 5)",['170']
"('F3614', 14)","['139', '140', '154', '154', '154']"
"('F4377', 1)","['18', '154']"
"('F1846', 5)",['188']
"('F3143', 1)",['1']
"('H1120', 11)",['130']
"('F5371', 5)","['134', '138']"
"('F4607', 2)","['134', '154']"
"('F4602', 3)","['138', '169']"
"('F1082', 7)","['134', '76']"
"('F4359', 2)","['129', '134']"
"('F2595', 19)","['15', '141', '154', '169', '146', '151']"
"('F5796', 4)",['128']
"('F3344', 13)","['25', '25', '76']"
"('F3215', 14)","['26', '169', '159']"
"('F1319', 6)","['2', '2', '108', '2', '2', '2', '22', '2']"
"('F1267', 4)",['19']
"('F2591', 9)","['128', '170']"
"('F3095', 10)","['154', '169', '171']"
"('F2229', 1)",['76']
"('F1141', 4)",['76']
"('F3170', 7)",['129']
"('F3811', 5)","['151', '164', '169']"
"('F1845', 9)","['2', '2', '123']"
"('F2698', 6)","['142', '154']"
"('F2329', 22)",['164']
"('F1538', 2)","['129', '134']"
"('F3675', 4)",['128']
"('F4642', 12)",['129']
"('F4452', 9)",['154']
"('F3164', 11)",['107']
"('F2757', 7)",['128']
"('F3238', 2)","['154', '170']"
"('F3224', 3)",['190']
"('F3782', 8)","['142', '141']"
"('F3566', 8)",['154']
"('F4868', 13)",['169']
"('F3339', 17)",['15']
"('F3183', 10)",['146']
"('F1226', 6)",['169']
"('F2858', 3)","['148', '186', '142']"
"('F3154', 5)","['130', '155']"
"('F2038', 10)","['169', '188', '169', '188']"
"('F3802', 2)",['148']
"('F3544', 8)",['20']
"('F3739', 3)",['15']
"('F3181', 6)","['22', '169', '142', '100', '154']"
"('F2036', 21)","['141', '76']"
"('F2273', 18)","['76', '154', '190']"
"('F5472', 3)","['25', '74']"
"('F3372', 5)","['124', '187', '154']"
"('F2513', 24)","['128', '132', '138', '154']"
"('F3153', 29)","['151', '164', '193']"
"('F2903', 9)","['12', '130']"
"('F2013', 7)","['2', '2']"
"('F2284', 18)","['129', '188', '169']"
"('F1266', 2)","['154', '157', '173']"
"('H1105', 1)","['76', '142']"
"('F1520', 1)","['2', '100']"
"('F1619', 1)",['154']
"('F2201', 13)","['76', '133']"
"('F1043', 1)",['134']
"('F3784', 1)",['155']
"('H1084', 7)",['134']
