1,131,"['2', '1', '2', '1', '1', '1', '2', '2', '3', '1', '2', '3', '1', '2', '1', '2', '1', '1', '1', '1']"
1,380,"['2', '1', '1', '2', '1', '1', '1', '2', '2', '1', '2', '1', '2', '1']"
1,58,"['1', '3', '1', '2', '1', '2', '1', '2', '2', '1', '2', '3', '2', '1', '1', '1', '1', '2']"
2,1166,"['1', '1']"
5,1407,['1']
1,811,"['1', '1', '1', '1', '1', '2', '3', '4', '1', '1', '1', '1', '2', '1', '2', '1', '1']"
1,1562,"['1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2']"
2,951,"['1', '1', '2', '2', '1', '1']"
1,1600,"['1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '3', '1', '1', '1', '1']"
6,141,['1']
3,172,['1']
1,328,"['1', '1', '1', '1', '1', '1', '1', '2', '3', '1', '3', '1', '1', '1']"
4,1078,['2']
1,2048,"['1', '2', '3', '4', '5', '1', '1', '1', '1', '4']"
1,1384,"['1', '1', '1', '2', '1', '1', '3', '1', '1', '1', '1', '1', '1', '1']"
2,1941,"['1', '2']"
5,685,['3']
3,1657,['1']
2,1248,"['1', '1']"
2,1029,"['1', '1']"
2,857,"['1', '1', '1']"
2,1788,"['3', '1', '1']"
1,333,"['1', '1', '2', '1', '1', '1', '1', '1', '1', '2', '3', '1', '1', '2', '1']"
2,402,"['1', '1', '1']"
1,480,"['1', '2', '1', '1', '2', '2', '3', '1', '1', '1', '1', '1', '1', '1']"
1,674,"['1', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '1', '1', '2']"
3,518,['2']
4,472,['2']
3,360,"['1', '2', '1']"
1,626,"['1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '1', '1', '2', '1', '1', '1', '2', '1']"
4,1896,['3']
1,794,"['1', '1', '2', '1', '2', '2', '1', '2', '1', '1', '1', '1', '2', '1']"
1,1250,"['1', '1', '1', '1', '1', '1', '1', '2', '4', '1', '1', '1']"
4,1109,"['1', '1']"
4,1260,['2']
2,1098,"['1', '1', '2', '3', '1']"
1,2002,"['1', '1', '1', '1', '2', '1']"
1,457,"['3', '4', '5', '1', '1', '1', '2', '1', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '1']"
2,148,"['1', '1', '4', '3']"
2,900,"['3', '1']"
2,1064,"['1', '1']"
2,467,"['3', '1', '1', '2', '2']"
3,826,['2']
2,1626,"['1', '1', '1']"
1,1721,"['1', '2', '3', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1']"
4,1630,['1']
2,1047,"['1', '1']"
2,764,['2']
2,1338,"['1', '1', '1', '2', '1']"
3,1901,"['1', '1']"
1,1011,"['1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1']"
1,184,"['1', '1', '1', '1', '2', '3', '4', '1', '1', '2', '1', '1', '1']"
1,2100,"['1', '1', '1', '1', '1']"
1,353,"['1', '1', '2', '3', '4', '5', '1', '2', '1', '1', '1', '3', '1', '2', '1', '1', '1', '1']"
3,534,['2']
1,273,"['1', '2', '3', '2', '1', '1', '2', '1', '1', '2', '1', '1', '2', '3', '1', '3', '2', '1']"
2,2050,"['1', '1']"
2,816,"['1', '1']"
2,749,"['1', '1', '2', '1', '1', '1', '1']"
1,32,"['1', '1', '2', '1', '2', '2', '1', '2', '1', '1', '2', '1', '2']"
2,398,"['1', '1']"
1,917,"['1', '2', '1', '2', '1', '1', '2', '3', '1', '1', '2', '1', '2', '3', '4', '5', '1', '2']"
1,1917,"['1', '1', '1', '2', '3', '1', '1', '1', '1', '2']"
6,1423,['1']
2,623,"['2', '1', '1', '1']"
4,1762,['1']
5,460,['1']
2,323,['1']
3,588,['2']
1,1632,"['1', '1', '1', '1', '2', '3', '1', '1', '1', '1', '1', '1', '1']"
2,2259,['2']
1,2307,"['1', '2']"
6,235,['5']
4,860,['1']
2,731,"['1', '3', '2', '1', '1']"
6,30,['1']
5,814,['2']
2,1100,['2']
1,973,"['2', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
2,1739,['1']
3,547,"['2', '1']"
1,2069,"['1', '1', '1', '1', '1', '2']"
2,259,"['1', '1', '1', '1', '1']"
2,1594,"['1', '1']"
1,2160,"['1', '2', '3', '2', '2', '1']"
1,1306,"['1', '1', '1', '2', '1', '1', '1', '2', '1', '2', '1', '1', '1', '2', '1', '2', '1']"
4,1473,['2']
2,716,"['1', '2', '1']"
2,2011,['1']
3,1301,['2']
1,1008,"['1', '2', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1']"
1,1988,"['1', '1', '1', '1', '1', '1']"
1,1214,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '3', '1']"
1,1933,"['1', '1', '2', '1', '1', '1', '2', '1', '1', '1']"
1,1175,"['1', '2', '1', '2', '2', '1', '1', '2']"
1,160,"['1', '2', '1', '2', '1', '1', '1', '1', '2', '3', '1', '1', '1', '2']"
2,824,"['2', '2', '1']"
1,1857,"['1', '2', '3', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1']"
1,1966,"['1', '2', '4', '1', '2', '1', '1', '1']"
2,775,"['2', '1', '1']"
3,1725,"['1', '2']"
2,382,"['2', '2', '1']"
6,558,['1']
3,564,"['2', '2']"
3,1066,"['1', '1']"
2,1897,['1']
1,1315,"['1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
3,117,['2']
4,119,"['1', '1']"
1,1459,"['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1']"
3,1878,['2']
1,466,"['1', '2', '1', '1', '1', '1', '2', '1', '1', '1', '2', '1', '2']"
1,1393,"['1', '1', '2', '2', '3', '1', '1', '2', '1', '2', '2', '1', '1', '1', '1', '1', '1']"
2,2022,"['1', '1']"
1,739,"['1', '1', '1', '2', '3', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1']"
2,329,"['1', '1', '1']"
2,1405,"['1', '1']"
3,318,['1']
1,1771,"['1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1']"
2,1613,"['1', '2', '3']"
2,1759,"['1', '1']"
2,1546,['1']
4,802,['1']
4,813,['1']
4,2137,['1']
4,361,['3']
4,137,['1']
6,818,['1']
1,592,"['1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '2']"
5,440,['2']
2,366,"['1', '1', '2', '2']"
3,662,['2']
4,1504,['1']
4,1999,['1']
3,433,"['2', '4']"
2,1745,"['2', '1']"
1,1694,"['1', '2', '3', '1', '2', '1', '1', '2', '1', '1', '1', '1', '1']"
1,772,"['1', '1', '1', '1', '1', '2', '1', '1', '3', '1', '1', '2']"
3,1623,['2']
3,657,['2']
2,372,"['1', '2']"
1,438,"['1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '1', '1', '2', '3', '1', '2']"
1,866,"['1', '2', '1', '1', '1', '2', '3', '1', '1', '2', '1', '1', '2']"
1,764,"['1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1']"
1,724,"['1', '2', '1', '1', '2', '3', '1', '1', '1', '2', '1', '2', '1', '1', '1', '2']"
1,1107,"['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1']"
3,458,['2']
1,1059,"['1', '2', '1', '2', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '2', '3', '1', '2']"
4,343,['2']
4,1287,['2']
1,1544,"['1', '1', '2', '1', '1', '2', '3', '1', '1', '1', '2', '1', '1', '1']"
2,2049,['1']
1,2275,"['1', '2']"
1,530,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1']"
2,784,"['1', '1', '1', '3']"
2,355,"['2', '1', '1', '1', '1', '2', '1', '1', '2']"
1,263,"['1', '1', '1', '1', '2', '2', '3', '1', '1', '1', '1']"
4,171,['2']
2,616,"['1', '2', '1']"
1,2156,"['1', '2', '3', '1', '1', '1']"
1,1791,"['1', '1', '2', '1', '1', '1', '1', '1', '1', '2', '3', '1', '2', '1']"
2,1810,"['1', '1']"
3,23,"['1', '2']"
2,1522,['1']
5,1280,['1']
2,171,"['1', '1', '1', '1', '1', '1']"
2,939,"['1', '1', '1']"
2,2086,['1']
2,2093,"['2', '3']"
1,193,"['1', '1', '2', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '1', '2', '3', '1', '2']"
1,1564,"['1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2']"
1,1357,"['1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1']"
1,2315,['1']
1,1844,"['1', '1', '2', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1']"
1,1270,"['1', '1', '1', '1', '2', '2', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1']"
2,1912,['1']
15,2004,['1']
4,904,['1']
2,499,"['1', '1', '5', '1', '1']"
6,771,['1']
4,1413,"['1', '2']"
1,691,"['2', '1', '1', '2', '1', '2', '3', '1', '2', '1', '1', '2', '1', '2', '3', '1', '2', '1', '2']"
2,1720,"['2', '1']"
1,846,"['1', '1', '1', '2', '1', '2', '1', '1', '2', '2', '1', '2', '2', '1', '2', '2']"
2,615,"['1', '1']"
1,2245,"['1', '2', '5', '6']"
6,346,['1']
4,83,['1']
2,1931,['1']
1,2128,"['1', '1', '1']"
1,1189,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '3', '4', '1', '1', '1', '2']"
1,1040,"['1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '2', '3', '1', '1']"
1,2357,['1']
2,128,"['1', '1', '1', '1', '1', '1']"
4,949,['2']
2,33,"['1', '1', '1', '1', '1', '1']"
2,1829,"['1', '1', '1', '1']"
2,2134,['1']
1,1507,"['1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1']"
3,1003,['1']
2,1148,['1']
1,1821,"['1', '1', '2', '1', '1', '2', '1', '1', '1', '1', '1']"
1,1110,"['1', '1', '1', '1', '2', '3', '2', '1', '2', '1', '3', '1', '2', '2']"
4,410,['2']
1,1861,"['1', '2', '1', '2', '1', '1', '1', '1']"
1,1074,"['1', '1', '2', '1', '1', '1', '1', '2', '3', '1', '1', '1', '1', '2', '1', '2', '1']"
2,53,"['1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
1,216,"['1', '1', '2', '1', '1', '1', '2', '2', '1', '2', '1', '1']"
1,445,"['1', '1', '3', '2', '3', '1', '1', '1', '1', '2', '1', '2', '1']"
1,130,"['1', '1', '1', '2', '2', '4', '1', '1', '1', '1', '1']"
1,381,"['1', '1', '2', '3', '1', '2', '1', '3', '1', '2', '1', '1', '1', '1', '1']"
1,759,"['1', '2', '1', '2', '3', '1', '2', '1', '1', '1', '1', '1', '3', '1', '1', '2']"
2,1536,"['1', '1', '1']"
2,165,"['1', '1', '1', '1', '2']"
3,1296,['1']
2,952,"['2', '1', '1']"
8,714,['2']
1,1975,"['1', '2', '1', '1', '1', '1', '1', '1', '2']"
2,529,"['2', '2', '1', '1', '1']"
10,1988,['2']
1,329,"['1', '1', '1', '1', '1', '2', '1', '3', '1', '1', '1', '1', '1']"
1,2049,"['1', '1', '1', '1', '1', '1']"
1,1385,"['1', '2', '1', '1', '2', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '2', '1']"
2,1940,['1']
1,558,"['1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '4', '1']"
1,1036,"['1', '1', '2', '1', '1', '1', '1', '2', '1', '2', '1', '1', '2']"
2,856,"['1', '2', '3', '1']"
1,332,"['1', '1', '1', '2', '3', '5', '1', '1', '3', '1', '2', '4', '6', '1', '1', '1', '1']"
1,1757,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1']"
2,403,"['1', '1', '2', '1', '1']"
1,258,"['1', '1', '1', '1', '1', '1', '1', '3', '1', '2', '1', '1', '1']"
1,675,"['1', '2', '2', '2', '1', '2', '2', '3', '1', '1', '1', '1', '1', '2', '1', '2', '1', '1']"
2,1969,"['1', '2', '2']"
1,1154,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '3', '1', '1', '2', '1']"
3,361,"['2', '1']"
1,477,"['1', '1', '1', '1', '1', '2', '3', '1', '2', '3', '1', '1', '1', '2', '1', '1']"
3,97,['1']
2,2242,['2']
4,1895,['1']
3,873,['1']
