BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
5,156,1,2020-08-25 17:09:59,30.000000,"F4479",2,3
5,156,1,2020-08-27 17:10:09,30.000000,"F4774",2,3
5,157,3,2020-08-13 18:24:23,32.000000,"F0000",1,1
5,159,1,2020-08-17 17:25:15,20.000000,"F3383",1,3
5,170,1,2020-08-21 17:07:10,20.000000,"F2452",1,4
5,170,1,2020-08-26 17:08:42,20.000000,"F2327",1,1
5,170,1,2020-08-28 17:12:27,20.000000,"F2025",1,4
5,174,1,2020-08-29 17:25:04,12.000000,"F6770",5,1
6,2,1,2020-08-22 17:17:53,8.000000,"F3556",1,3
6,2,2,2020-08-19 17:12:40,8.000000,"F3196",1,2
6,2,2,2020-08-20 17:21:57,8.000000,"F3884",1,1
6,2,2,2020-08-21 17:12:51,8.000000,"F3892",1,1
6,15,1,2020-08-25 17:10:59,35.000000,"F5684",1,1
6,19,1,2020-08-23 17:09:21,20.000000,"F2036",1,3
6,25,1,2020-08-28 17:12:43,10.000000,"F2115",1,4
6,123,1,2020-08-19 17:12:40,8.000000,"F3196",2,4
6,123,1,2020-08-20 17:21:57,8.000000,"F3884",2,1
6,123,1,2020-08-24 17:11:30,8.000000,"F2847",1,1
6,123,1,2020-08-29 17:25:10,8.000000,"F4296",2,4
6,123,2,2020-08-21 17:12:51,8.000000,"F3892",2,2
6,130,1,2020-08-12 19:59:44,21.000000,"F0000",2,2
6,140,1,2020-08-11 20:30:52,26.000000,"F0000",1,1
6,140,1,2020-08-12 19:59:44,26.000000,"F0000",1,2
6,146,2,2020-08-15 20:06:33,85.000000,"F0000",1,4
6,148,1,2020-08-14 19:59:59,90.000000,"F3259",1,5
6,151,4,2020-08-15 20:06:33,12.000000,"F0000",2,1
6,155,1,2020-08-27 17:10:39,27.000000,"F2288",1,5
6,156,1,2020-08-12 19:59:44,30.000000,"F0000",3,4
6,156,1,2020-08-26 17:15:34,30.000000,"F3698",1,4
6,157,2,2020-08-13 18:56:39,32.000000,"F0000",1,3
6,159,1,2020-08-22 17:17:53,20.000000,"F3556",2,4
6,159,1,2020-08-29 17:25:10,20.000000,"F4296",1,2
6,160,1,2020-08-23 17:29:59,25.000000,"F3270",1,5
6,163,1,2020-08-17 17:40:55,20.000000,"F0000",1,5
6,163,1,2020-08-18 17:26:42,20.000000,"F4805",1,4
